Wall time;Step;Value
16.152.965.746.702.100;20067;0.131743863
16.152.966.476.074.100;20073;0.169387341
16.152.973.925.005.300;20132;0.123915747
1.615.297.699.223.320;20159;0.164768234
16.152.979.343.972.700;20182;0.097739957
16.152.987.213.670.300;20252;0.176137254
1.615.298.987.822.980;20274;0.161976725
16.152.993.548.398.000;20307;0.130821258
16.152.995.556.305.500;20324;0.07964009
16.152.996.404.307.000;20331;0.092354551
1.615.300.120.865.890;20371;0.15628913
1.615.300.316.961.640;20389;0.125833377
16.153.003.879.810.600;20395;0.161918238
16.153.004.263.249.500;20398;0.160545409
16.153.013.697.751.700;20474;0.165995955
16.153.013.803.859.300;20475;0.165184513
16.153.019.310.863.700;20522;0.180094644
16.153.022.821.904.800;20553;0.154416159
16.153.026.003.345.200;20580;0.140209764
16.153.026.418.216.900;20583;0.148453951
1.615.302.695.288.370;20588;0.160331413
16.153.034.451.576.100;20644;0.182745263
16.153.036.178.349.100;20659;0.16323705
16.153.037.431.619.300;20670;0.079523183
1.615.304.358.444.060;20719;0.160006732
16.153.050.630.982.800;20776;0.173128828
16.153.056.052.928;20821;0.127922237
16.153.061.133.341.100;20862;0.166600361
1.615.306.263.952.190;20875;0.132602602
16.153.062.802.942.100;20876;0.169461146
16.153.065.396.741.100;20898;0.146620587
16.153.066.023.998.200;20903;0.15555194
16.153.067.530.884.600;20914;0.148505241
16.153.080.428.773.100;21025;0.151726753
16.153.082.836.121.700;21046;0.171180308
1.615.309.133.261.450;21115;0.171643987
16.153.091.771.279.600;21118;0.15672563
16.153.091.843.755.800;21119;0.093052313
16.153.097.930.165.900;21167;0.166759327
1.615.310.100.896.410;21191;0.19007735
16.153.108.172.608;21249;0.168166324
16.153.117.396.809.100;21323;0.159437373
16.153.122.419.818.500;21363;0.161789909
16.153.127.668.181.800;21403;0.19636023
1.615.312.931.348.520;21416;0.148121253
16.153.136.715.598.000;21480;0.140877515
16.153.145.378.857.200;21545;0.17106536
16.153.148.035.191.700;21568;0.171830967
1.615.315.828.404.800;21652;0.133764282
16.153.158.686.446.200;21655;0.152280793
16.153.159.349.081.700;21660;0.174848631
16.153.169.131.761.900;21727;0.204700336
16.153.171.336.099.900;21745;0.091968745
16.153.181.046.705.500;21820;0.179030836
16.153.185.902.842.300;21859;0.173970386
16.153.205.281.452.200;22017;0.163777575
16.153.210.832.751.300;22059;0.178976864
16.153.210.920.426.000;22060;0.122320525
1.615.321.818.726.140;22125;0.162193105
1.615.321.884.366.970;22131;0.178535223
16.153.221.914.617.800;22157;0.106664702
16.153.224.461.178.300;22178;0.14751704
1.615.322.521.366.050;22184;0.173629239
1.615.323.898.394.810;22303;0.187661588
16.153.243.153.072.800;22335;0.188932523
16.153.244.086.385.600;22342;0.167456925
16.153.269.908.000.200;22556;0.152165502
16.153.273.010.913.600;22581;0.180582166
1.615.327.457.105.800;22594;0.159139931
16.153.277.693.190.900;22621;0.183423936
1.615.327.870.797.020;22628;0.177426562
1.615.328.053.495.380;22644;0.160483122
16.153.281.464.963.600;22652;0.178334787
1.615.328.305.967.110;22666;0.168852314
16.153.286.396.168.000;22694;0.166772604
16.153.294.598.838.100;22763;0.185146958
1.615.329.495.850.400;22766;0.1512568
16.153.300.326.487.600;22808;0.167997077
16.153.304.879.306.000;22843;0.208983347
16.153.309.403.263.300;22880;0.181351781
16.153.319.896.781.800;22971;0.155735046
16.153.334.283.560.500;23094;0.144124255
16.153.335.196.904.800;23101;0.140378132
1.615.334.319.447.050;23164;0.191737652
1.615.334.468.586.850;23176;0.163168803
16.153.355.850.975.300;23266;0.180291295
16.153.356.288.695.400;23269;0.188061878
16.153.373.678.978.100;23416;0.155238181
16.153.374.153.284.500;23420;0.156506687
16.153.379.195.767.400;23463;0.189079762
1.615.338.039.541.160;23474;0.138236329
16.153.380.944.702.800;23479;0.197240278
1.615.338.162.820.080;23484;0.170128107
16.153.385.688.204.800;23518;0.190405443
16.153.386.628.605.900;23528;0.182354927
16.153.389.711.510.000;23554;0.197050467
16.153.395.286.561.000;23599;0.179025069
1.615.339.818.709.760;23622;0.165894568
16.153.404.318.034.500;23673;0.16722171
16.153.407.118.232.700;23697;0.132188752
