Wall time;Step;Value;;;
1.615.306.263.952.190;20875;2.0;;;
16.153.065.396.741.100;20898;2.0;;;
1.615.312.931.348.520;21416;2.0;;;
16.153.136.715.598.000;21480;2.0;;;
16.153.210.920.426.000;22060;2.0;;;
1.615.329.495.850.400;22766;2.0;;;
16.153.335.196.904.800;23101;2.0;;;
1.615.338.039.541.160;23474;2.0;;;
16.153.445.460.112.600;24017;2.0;;;
16.153.447.866.041.600;24037;2.0;;;
16.153.463.893.174.100;24167;2.0;;;
16.153.501.970.009.100;24483;2.0;;;
16.153.512.211.100.100;24570;2.0;;;
1.615.351.821.028.390;24620;2.0;;;
16.153.564.427.901.200;25003;2.0;;;
1.615.359.274.623.590;25237;2.0;;;
16.153.645.900.190.900;25668;2.0;;;
1.615.374.810.410.590;26491;2.0;;;
16.153.813.648.097.600;27006;2.0;;;
16.153.833.165.352.000;27163;2.0;;;
1.615.394.477.836.280;28031;2.0;;;
16.153.973.684.829.900;28252;2.0;;;
16.154.117.613.023.700;29393;2.0;;;
16.154.143.707.475.700;29607;2.0;;;
16.154.186.771.410.800;29947;2.0;;;
1.615.421.827.642.730;30218;2.0;;;
16.154.236.929.517.400;30367;2.0;;;
16.154.267.975.972.800;30620;2.0;;;
16.154.289.515.166.400;30802;2.0;;;
16.154.321.669.199.500;31074;2.0;;;
16.154.402.884.870.600;31742;2.0;;;
16.154.409.745.298.000;31800;2.0;;;
16.154.419.001.639.200;31873;2.0;;;
16.154.460.725.240.200;32216;2.0;;;
16.154.468.908.401.700;32281;2.0;;;
1.615.454.031.487.720;32836;2.0;;;
16.154.566.170.739.400;33042;2.0;;;
16.154.590.986.773.500;33238;2.0;;;
16.154.750.455.231.600;34477;2.0;;;
161.548.425.494.363;35141;2.0;;;
16.154.934.740.078.800;35819;2.0;;;
16.154.996.830.042.000;36289;2.0;;;
16.155.025.168.744.700;36500;2.0;;;
1.615.511.671.182.990;37186;2.0;;;
16.155.179.247.994.400;37647;2.0;;;
16.155.446.298.757.700;39632;2.0;;;
16.155.508.030.389.900;40066;2.0;;;
16.155.640.101.441.100;40999;2.0;;;
16.155.737.764.378.000;41677;2.0;;;
16.155.800.657.137.800;42116;2.0;;;
16.155.878.334.389.900;42648;2.0;;;
16.155.900.785.136.600;42804;2.0;;;
16.151.153.962.031.100;591;3.0;;;
16.151.175.557.627.200;872;3.0;;;
16.151.184.539.952.300;983;3.0;;;
16.151.193.562.744.100;1107;3.0;;;
1.615.125.505.618.460;1904;3.0;;;
16.151.286.561.855.000;2283;3.0;;;
16.151.369.428.352.600;3303;3.0;;;
16.151.422.417.504.300;3954;3.0;;;
16.151.436.965.558.200;4129;3.0;;;
161.514.511.409.758;4292;3.0;;;
16.151.474.720.078.700;4563;3.0;;;
16.151.475.189.488.500;4568;3.0;;;
16.151.524.955.025.400;5124;3.0;;;
16.151.530.483.090.200;5188;3.0;;;
16.151.573.660.814.100;5681;3.0;;;
1.615.160.900.099.940;6059;3.0;;;
16.151.634.139.871.400;6326;3.0;;;
16.151.662.764.191.200;6625;3.0;;;
1.615.166.526.743.680;6648;3.0;;;
1.615.169.410.849.110;6939;3.0;;;
16.151.702.476.208.100;7032;3.0;;;
16.151.703.993.777.600;7047;3.0;;;
1.615.170.711.713.330;7078;3.0;;;
1.615.171.948.489.670;7205;3.0;;;
16.151.777.327.691.900;7786;3.0;;;
16.151.778.623.732.500;7799;3.0;;;
16.151.801.102.174.100;8023;3.0;;;
16.151.819.951.659.300;8236;3.0;;;
16.151.863.214.452.500;8699;3.0;;;
16.151.872.671.070.600;8803;3.0;;;
16.151.875.316.234.100;8834;3.0;;;
16.151.925.904.599.300;9391;3.0;;;
16.151.942.358.760.200;9569;3.0;;;
16.151.971.586.594.100;9883;3.0;;;
16.151.972.274.998.700;9890;3.0;;;
16.152.158.649.106.100;11868;3.0;;;
16.152.202.742.041.300;12346;3.0;;;
16.152.227.964.195.100;12626;3.0;;;
16.152.300.793.764.800;13430;3.0;;;
16.152.302.737.528.100;13449;3.0;;;
16.152.360.558.299.300;14083;3.0;;;
16.152.454.466.000.500;15116;3.0;;;
16.152.467.566.270.500;15262;3.0;;;
16.152.490.763.318.700;15516;3.0;;;
16.152.503.878.991.800;15660;3.0;;;
16.152.506.225.902.900;15683;3.0;;;
1.615.254.720.308.840;16109;3.0;;;
1.615.256.680.674.560;16315;3.0;;;
16.152.598.998.169.200;16657;3.0;;;
16.152.624.504.424.100;16926;3.0;;;
1.615.264.022.670.720;17082;3.0;;;
16.152.655.128.407.900;17235;3.0;;;
16.152.674.866.749.100;17433;3.0;;;
16.152.694.062.826.400;17628;3.0;;;
1.615.269.676.477.240;17651;3.0;;;
16.152.703.084.414.900;17710;3.0;;;
16.152.706.205.361.200;17741;3.0;;;
16.152.720.510.949.800;17879;3.0;;;
1.615.272.600.100.770;17930;3.0;;;
16.152.739.414.753.900;18058;3.0;;;
16.152.763.695.610.400;18289;3.0;;;
1.615.277.437.330.280;18389;3.0;;;
16.152.782.857.013.100;18465;3.0;;;
16.152.834.200.593.300;18928;3.0;;;
16.152.848.964.997.200;19056;3.0;;;
16.152.875.502.924.200;19294;3.0;;;
16.152.885.494.723.700;19384;3.0;;;
16.152.911.244.869.500;19607;3.0;;;
16.152.937.641.352.100;19836;3.0;;;
16.152.940.791.662.700;19861;3.0;;;
1.615.295.771.189.040;20001;3.0;;;
1.615.297.699.223.320;20159;3.0;;;
1.615.300.120.865.890;20371;3.0;;;
