Wall time;Step;Value
16.156.659.215.452.400;14081;21
16.156.665.040.567.200;14222;25
1.615.666.767.456.020;14288;26
16.156.668.045.529.100;14295;17
1.615.666.833.418.010;14304;14
16.156.669.062.432.200;14321;26
16.156.669.590.215.900;14333;24
16.156.669.802.374.400;14339;15
16.156.672.315.232.300;14398;21
16.156.674.540.926.700;14448;22
16.156.676.529.777.900;14495;22
16.156.678.036.383.600;14531;19
16.156.679.046.036.200;14555;11
16.156.679.170.980.400;14558;33
1.615.668.225.643.420;14633;17
16.156.682.500.632.800;14639;16
16.156.683.836.496.700;14669;12
16.156.684.161.002.700;14678;13
16.156.684.398.012.500;14682;16
1.615.668.465.471.680;14688;34
16.156.688.604.035.100;14780;27
16.156.688.681.289.300;14781;24
16.156.689.023.511.900;14789;14
16.156.689.088.284.300;14793;24
16.156.689.749.496.000;14810;18
16.156.692.536.682.700;14874;14
16.156.693.392.831.800;14893;21
16.156.694.903.228.400;14927;45
16.156.695.884.980.800;14951;15
16.156.699.180.452.500;15028;29
1.615.670.192.659.060;15091;20
16.156.703.843.513.800;15137;31
16.156.705.790.990.300;15181;19
1.615.670.662.821.400;15200;26
1.615.670.954.453.620;15267;19
16.156.711.921.395.700;15325;22
16.156.712.840.344.800;15348;19
16.156.716.263.383.900;15429;47
16.156.717.421.046.000;15457;13
16.156.718.126.372.500;15474;17
16.156.718.215.902.800;15476;19
16.156.719.613.367.500;15508;22
16.156.720.905.172.700;15539;18
16.156.723.575.510.700;15598;18
1.615.672.986.219.670;15741;32
16.156.730.983.367.400;15765;25
1.615.673.136.961.320;15774;15
16.156.731.690.670.900;15780;23
1.615.673.367.417.630;15826;13
16.156.733.891.900.200;15829;13
1.615.673.466.104.680;15848;19
16.156.735.389.718.900;15867;19
16.156.740.224.654.300;15980;21
16.156.740.885.282.600;15994;13
16.156.745.623.489.400;16096;25
16.156.746.465.833.200;16117;14
1.615.674.972.880.330;16189;16
1.615.675.023.141.100;16199;26
16.156.752.577.328.000;16250;18
16.156.755.731.151.100;16322;20
16.156.756.780.217.800;16344;17
16.156.757.596.311.800;16361;18
16.156.759.641.040.100;16407;11
16.156.761.048.423.200;16441;36
16.156.764.083.197.400;16506;21
16.156.766.677.862.200;16560;13
16.156.767.741.724.200;16586;23
16.156.768.067.491.000;16591;21
1.615.677.132.923.660;16662;20
16.156.772.783.920.800;16698;26
16.156.774.988.569.100;16747;13
1.615.677.794.843.410;16809;17
16.156.777.968.272.300;16810;16
16.156.779.399.091.000;16844;18
16.156.779.999.570.800;16858;13
16.156.781.907.009.600;16900;14
16.156.789.872.922.700;17067;56
16.156.791.270.533.300;17098;12
16.156.792.915.050.600;17132;17
16.156.795.952.868.600;17193;20
1.615.679.641.062.120;17203;16
1.615.679.805.379.220;17240;21
16.156.798.407.515.800;17248;11
16.156.799.552.219.300;17273;26
1.615.680.029.693.040;17291;19
16.156.800.373.119.800;17293;27
